,证券代码,证券简称,"任职期限最长的现任基金经理
[名次] 第1名","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第1名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第1名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第2名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第2名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第3名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第3名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第4名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第4名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第5名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第5名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第6名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第6名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第7名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第7名
[单位] %↓","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第8名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第8名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第9名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第9名
[单位] %","重仓股股票Wind代码
[报告期] 去年年报
[名次] 第10名","重仓股市值占股票投资市值比
[报告期] 去年年报
[名次] 第10名
[单位] %"
107,005106.OF,银华农业产业,王翔,河南省,8.8426,四川省,8.1026,广东省,8.0653,贵州省,8.0454,福建省,6.8193,湖南省,5.8947,广东省,4.7321,四川省,4.3147,江苏省,4.3061,安徽省,3.5647
108,006803.OF,嘉实互通精选,陈叶雁南,贵州省,8.9975,广东省,6.8188,浙江省,6.6514,广东省,5.9386,香港特别行政区,5.4251,广东省,5.1659,广东省,4.7292,广东省,4.5696,广东省,4.4963,江苏省,4.2827
109,000867.OF,华宝品质生活,光磊,吉林省,9.3962,天津,8.6895,湖南省,7.6566,浙江省,7.1099,山东省,6.5005,广东省,5.2468,江苏省,4.7106,广东省,4.3282,广东省,3.5807,上海,3.4875
110,004784.OF,招商稳健优选,钟贇,广东省,8.7805,贵州省,8.3791,河南省,7.7692,江苏省,7.3114,四川省,6.4816,广东省,5.6843,浙江省,4.6629,四川省,3.9752,广东省,3.4958,湖北省,3.2839
111,001685.OF,汇添富沪港深新价值,杨威风,安徽省,5.8038,江苏省,5.7414,广东省,5.5392,香港特别行政区,5.4634,广东省,5.1662,北京,4.6913,广东省,4.6566,天津,4.5376,江苏省,4.1946,北京,4.0166
112,162208.OF,泰达宏利首选企业,张勋,江西省,6.905,吉林省,6.2126,四川省,5.4274,江苏省,5.38,河北省,5.2906,四川省,4.6589,浙江省,4.6561,北京,3.4874,广东省,3.471,江苏省,3.3389
113,320020.OF,诺安策略精选,蔡宇滨,浙江省,11.2011,广东省,8.3646,浙江省,7.4234,江苏省,6.656000000000001,广东省,6.1166,北京,4.9317,广东省,4.6465,内蒙古自治区,3.6465,吉林省,3.6371,河南省,3.6062
114,005628.OF,汇安趋势动力A,邹唯,广东省,9.0795,安徽省,7.9332,广东省,7.5494,广东省,6.9947,广东省,6.8171,上海,4.8416,浙江省,4.6157,上海,4.2706,浙江省,3.7166,广东省,3.5852
115,005009.OF,申万菱信行业轮动,蒲延杰,贵州省,9.0222,广东省,6.6382,广东省,6.236000000000001,四川省,5.8634,广东省,5.6614,四川省,5.3518,广东省,4.6009,广东省,4.421,北京,3.7781,福建省,3.6849
116,003232.OF,创金合信金融地产A,李龑,广东省,9.8643,浙江省,9.7912,广东省,9.7731,广东省,9.5083,广东省,8.6086,上海,6.6799,北京,4.5922,广东省,4.5189,北京,4.0303,江苏省,3.6467
117,001178.OF,前海开源再融资主题精选,邱杰,广东省,8.5577,云南省,6.3235,广东省,5.9253,北京,5.8036,广东省,5.752999999999999,重庆,5.066,上海,4.5703,福建省,4.1658,浙江省,3.5810000000000004,浙江省,3.4713
118,001766.OF,上投摩根医疗健康,方钰涵,广东省,9.8775,江苏省,9.6958,江苏省,7.4138,江苏省,7.3403,天津,6.832999999999999,吉林省,4.9462,湖南省,4.5471,北京,4.4141,上海,4.1339999999999995,广东省,3.8209
119,000780.OF,鹏华医疗保健,郎超,江苏省,11.1944,吉林省,10.8038,广东省,9.8873,江苏省,9.7921,湖南省,5.9431,广东省,4.8794,天津,4.5471,浙江省,4.4601,北京,4.4559,山东省,3.5271
120,001404.OF,招商移动互联网,张林,广东省,6.404,广东省,5.2847,山东省,5.2161,江苏省,4.9088,广东省,4.8961,北京,4.7124,广东省,4.5338,上海,4.4885,北京,4.0463,山东省,3.9025
121,001186.OF,富国文体健康,林庆,山东省,9.1071,广东省,6.2385,山东省,5.5647,内蒙古自治区,5.1288,浙江省,4.8243,安徽省,4.5957,北京,4.5104,江苏省,4.2273,上海,3.3252,广东省,3.2318
122,001975.OF,景顺长城环保优势,杨锐文,广东省,7.4858,广东省,6.7619,广东省,6.6206,广东省,5.5347,上海,5.4217,广东省,4.7336,湖南省,4.4984,山东省,4.4545,广东省,4.4407,北京,4.3731
123,001223.OF,鹏华文化传媒娱乐,贺宁,广东省,10.5156,湖南省,6.3434,江苏省,6.1252,浙江省,5.9405,上海,5.4081,北京,5.0061,北京,4.4957,广东省,4.1755,浙江省,4.1072,安徽省,3.5962
124,000594.OF,大摩进取优选,缪东航,山东省,7.1758,山东省,6.6883,山东省,6.599,安徽省,6.5883,浙江省,6.4924,湖南省,5.939,广东省,4.4878,浙江省,4.1836,江苏省,4.1584,福建省,4.0548
125,000971.OF,诺安新经济,杨琨,河南省,6.9334,江苏省,5.9158,北京,5.4907,浙江省,5.2787,贵州省,4.9292,江苏省,4.7861,北京,4.4643,四川省,3.688,广东省,3.5451,天津,3.5378
126,001167.OF,金鹰科技创新,乔春,浙江省,4.8435,浙江省,4.7966,浙江省,4.7446,北京,4.6425,湖北省,4.5456,北京,4.513999999999999,山东省,4.4504,山东省,4.4381,上海,4.376,云南省,4.2341
127,005209.OF,东吴双三角A,彭敢,北京,9.1142,广东省,6.6191,山东省,5.4719,山东省,5.3491,广东省,4.7576,浙江省,4.5879,广东省,4.4358,山东省,4.2599,江苏省,3.8679,江苏省,3.7928
128,005983.OF,上投摩根核心精选,李博,浙江省,10.5576,浙江省,5.7114,广东省,5.5112,广东省,5.4535,重庆,4.7876,江苏省,4.5642,广东省,4.4314,上海,4.3137,四川省,4.2504,安徽省,3.8479
129,001718.OF,工银瑞信物流产业,张宇帆,上海,8.5778,重庆,6.3731,上海,6.1392,山东省,5.4881,上海,5.3101,广东省,4.4223,广东省,4.3764,福建省,4.0335,上海,3.9287,河北省,3.923
130,001579.OF,国泰大农业,程洲,贵州省,6.3285,广东省,6.1257,广东省,5.1658,河南省,5.141,河南省,4.6892,四川省,4.4225,广东省,4.3738,内蒙古自治区,4.0058,浙江省,3.8695,上海,3.7255
131,000893.OF,工银瑞信创新动力,杨鑫鑫,广东省,6.3934,上海,5.9155,北京,5.8844,上海,4.8246,江西省,4.8168,河南省,4.7651,山东省,4.3555,福建省,4.0584,广东省,3.8067,山东省,3.5877
132,006751.OF,富国互联科技,许炎,广东省,8.0742,上海,7.7088,北京,7.3921,北京,6.5724,上海,6.1685,福建省,4.9755,福建省,4.3499,江苏省,3.9524,上海,3.595,浙江省,3.4347
133,001878.OF,嘉实沪港深精选,张金涛,浙江省,8.237,广东省,7.9563,广东省,7.9436,福建省,6.638,江苏省,4.769,香港特别行政区,4.6337,四川省,4.3489,山东省,3.7864,香港特别行政区,3.5807,贵州省,3.3523
134,160133.OF,南方天元新产业,蒋秋洁,四川省,6.5231,贵州省,6.0493,北京,5.5162,湖南省,5.2777,吉林省,4.6558,河南省,4.4271,广东省,4.3416,广东省,3.447,浙江省,3.4343,福建省,3.0499
135,003298.OF,嘉实物流产业A,肖觅,浙江省,10.370999999999999,江苏省,10.0585,上海,6.4218,上海,5.5304,辽宁省,5.3062,上海,4.8483,广东省,4.3409,福建省,4.248,北京,4.1895,北京,4.1286
136,006818.OF,安信盈利驱动A,袁玮,北京,6.4428,广东省,6.2799,安徽省,6.2172,广东省,5.4825,广东省,4.8069,江苏省,4.4688,上海,4.3357,广东省,4.3003,上海,4.026,福建省,3.7952
137,001396.OF,建信互联网+产业升级,何珅华,四川省,7.9249,浙江省,7.3535,贵州省,6.9582,广东省,5.7461,广东省,4.8127,江苏省,4.3611,安徽省,4.3328,湖北省,4.2671,辽宁省,4.2015,湖北省,4.117
138,001104.OF,华安新丝路主题,谢昌旭,贵州省,7.7443,四川省,6.5776,江苏省,6.0889999999999995,湖南省,4.8407,广东省,4.5718,广东省,4.4139,广东省,4.3218,广东省,4.2904,浙江省,4.1017,广东省,2.7308
139,007853.OF,华商计算机行业量化,邓默,浙江省,7.4017,山东省,6.6752,安徽省,5.5106,北京,4.5401,上海,4.3324,浙江省,4.3176,北京,4.3072,北京,3.9352,广东省,3.7894,北京,3.2494
140,000418.OF,景顺长城成长之星,刘晓明,广东省,9.2862,河南省,8.0483,广东省,7.8202,北京,5.3435,河北省,4.6388,贵州省,4.4465,广东省,4.305,山东省,3.8968,浙江省,3.7664,重庆,3.6376
141,540007.OF,汇丰晋信中小盘,侯玉琦,安徽省,7.5411,福建省,6.515,浙江省,6.1934,山东省,4.6927,浙江省,4.46,江苏省,4.36,江苏省,4.2986,天津,4.0177,广东省,3.9267,湖南省,3.7063
142,005268.OF,鹏华优势企业,陈璇淼,吉林省,10.1078,广东省,9.6818,四川省,7.5408,贵州省,5.6889,广东省,5.1761,上海,5.1605,广东省,4.2668,广东省,4.0505,江苏省,3.9249,广东省,3.9132
143,002861.OF,工银瑞信智能制造,农冰立,浙江省,9.8737,广东省,7.1583,广东省,5.0594,贵州省,5.0209,江苏省,4.7733,四川省,4.6803,上海,4.2593,安徽省,4.0469,广东省,4.0206,广东省,4.0064
144,001008.OF,工银瑞信国企改革主题,何肖颉,上海,10.975,广东省,6.3234,广东省,6.1895,广东省,5.7045,浙江省,5.2639,吉林省,4.7329,贵州省,4.2527,福建省,3.6325,湖北省,3.5796,安徽省,3.4874
145,519935.OF,长信创新驱动,沈佳,广东省,6.4343,福建省,5.4105,江苏省,5.4085,北京,4.7213,浙江省,4.3494,广东省,4.2894,北京,4.2478,浙江省,4.1408,广东省,4.1128,广东省,4.0385
146,007590.OF,华宝绿色领先,蔡目荣,新疆维吾尔自治区,8.3337,江苏省,8.3091,江苏省,7.8184,广东省,5.2596,浙江省,4.3874,江苏省,4.3304,山东省,4.2462,广东省,4.2195,广东省,3.5669999999999997,浙江省,3.5499
147,004640.OF,华夏节能环保,吕佳玮,福建省,8.717,广东省,8.059,浙江省,7.0976,广东省,5.2583,浙江省,5.1955,江西省,4.8792,江苏省,4.224,浙江省,4.211,北京,4.1248,湖北省,4.0519
148,003492.OF,前海开源外向企业,石峰,广东省,5.267,湖北省,4.9704,福建省,4.6825,广东省,4.3753,广西壮族自治区,4.2613,福建省,4.2517,北京,4.2154,内蒙古自治区,4.1955,上海,4.1173,浙江省,3.8383
149,003145.OF,中融竞争优势,柯海东,江西省,9.6365,陕西省,8.2676,重庆,5.4811,广东省,5.4483,北京,5.1835,北京,4.6707,广东省,4.1677,云南省,3.9911,湖北省,3.8155,浙江省,3.7629
150,001054.OF,工银瑞信新金融,鄢耀,浙江省,7.1948,福建省,6.5475,广东省,5.5514,广东省,5.2478,贵州省,5.1025,广东省,5.0249,广东省,4.144,江苏省,4.0005,北京,3.3583,海南省,2.9312
151,001236.OF,博时丝路主题A,沙炜,湖北省,9.0749,广东省,6.2969,广东省,5.2251,安徽省,5.1814,广东省,4.5319,上海,4.1578,福建省,4.1399,江苏省,3.6124,山东省,3.5558,广东省,3.4388
152,206012.OF,鹏华价值精选,张航,广东省,8.2101,广东省,5.7965,广东省,5.0854,广东省,4.7918,北京,4.2052,福建省,4.1448,福建省,4.1017,江苏省,3.9041,山东省,3.7919,北京,3.4231
153,000751.OF,嘉实新兴产业,归凯,广东省,6.7261,浙江省,5.6849,广东省,4.8561,广东省,4.5714,广东省,4.465,广东省,4.2098,北京,4.0992,广东省,4.0713,江苏省,3.9115,浙江省,3.8039
154,006265.OF,红土创新新科技,朱然,山东省,5.2645,甘肃省,4.7386,广东省,4.2681,福建省,4.1581,广东省,4.1059,浙江省,4.1026,江苏省,4.0873,广东省,3.9563,福建省,3.7921,广东省,3.7763
155,001705.OF,泓德战略转型,秦毅,陕西省,8.142999999999999,浙江省,7.8021,广东省,7.6642,广东省,4.8677,福建省,4.7558,新疆维吾尔自治区,4.4607,四川省,4.0843,福建省,3.7809,上海,3.7545,浙江省,3.5886
156,005161.OF,华商上游产业,童立,云南省,5.1405,广东省,4.9264,福建省,4.8534,广东省,4.5237,广东省,4.2859,广东省,4.1724,北京,4.0831,河北省,4.0735,浙江省,4.0427,浙江省,3.9787
157,005927.OF,创金合信新能源汽车A,曹春林,福建省,8.6208,广东省,8.2293,广东省,7.3609,上海,6.9014,四川省,5.4145,河北省,4.1487,广东省,4.0592,浙江省,3.9094,湖北省,2.9906,江苏省,2.8609
158,001166.OF,建信环保产业,姜锋,浙江省,6.5846,北京,6.4007,浙江省,6.3547,山东省,5.3988,北京,4.338,新疆维吾尔自治区,4.24,福建省,4.0583,四川省,4.0429,广东省,4.0296,山西省,3.9999
159,001070.OF,建信信息产业,邵卓,浙江省,8.2353,辽宁省,6.5426,福建省,5.4084,广东省,4.6972,广东省,4.4936,山东省,4.2276,广东省,4.0553,江苏省,3.9219,北京,3.8723,广东省,3.6875
160,004272.OF,中融量化小盘A,陈薪羽,江苏省,4.4716,山东省,4.1626,广东省,4.1155,浙江省,4.1093,江苏省,4.0801,山东省,4.0655,江苏省,4.045,浙江省,4.0252,上海,3.9833,广东省,3.9607
161,001476.OF,中银智能制造,王伟,广东省,8.3797,江苏省,6.6899,山东省,5.7002,四川省,5.3266,陕西省,4.9499,山东省,4.5296,北京,4.0143,浙江省,3.951,广东省,3.758,江苏省,3.2415
162,160322.OF,华夏港股通精选,李湘杰,浙江省,7.1331,河南省,6.0588,广东省,5.6134,江苏省,5.0535,香港特别行政区,4.8861,,4.3861,江苏省,4.013999999999999,江西省,3.8418,福建省,3.7889,广东省,3.3631
163,000729.OF,建信中小盘,许杰,山东省,6.5611,广东省,4.9984,江苏省,4.4862,天津,4.3428,四川省,4.1232,福建省,4.0514,广东省,3.9847,浙江省,3.9714,湖北省,3.9604,山东省,3.9551
164,000803.OF,工银瑞信研究精选,宋炳珅,广东省,8.463,北京,5.6751,北京,5.5408,江苏省,5.1788,浙江省,4.2827,上海,4.2176,山东省,3.9602,江苏省,3.2313,江苏省,3.1856,湖南省,3.0826
165,001409.OF,工银瑞信互联网加,张继圣,江苏省,8.0014,浙江省,7.3371,广东省,6.431,山东省,6.2498,广东省,4.2052,陕西省,4.0397,江苏省,3.9403,广东省,3.4866,江苏省,3.2485,广东省,3.0433
166,007586.OF,华泰保兴多策略三个月,尚烁徽,贵州省,5.6687,广东省,5.6326,上海,5.2926,福建省,5.2185,北京,4.1417,北京,4.1123,江苏省,3.9006,福建省,3.5593,广东省,3.5388,浙江省,3.3054
167,001195.OF,工银瑞信农业产业,杨柯,河南省,11.2041,广东省,11.1591,四川省,7.5977,广东省,5.6734,山东省,5.5474,上海,4.1397,广东省,3.8247,黑龙江省,3.3256,福建省,2.9724,天津,2.5617
168,001703.OF,银华沪港深增长,周大鹏,上海,6.3905,湖南省,6.0745,江苏省,4.6747,贵州省,4.3913,江苏省,4.3895,四川省,4.1532,山东省,3.8145,江苏省,3.5203,北京,3.4215,广东省,3.325
169,000696.OF,汇添富环保行业,赵鹏程,广东省,5.7341,广东省,5.6314,四川省,5.5371,江苏省,5.231,山东省,4.36,浙江省,4.284,浙江省,3.804,浙江省,3.6687,江苏省,3.596,北京,3.5918
170,001039.OF,嘉实先进制造,张淼,北京,7.4374,山东省,7.1615,江苏省,6.62,广东省,4.3054,广东省,3.9544,广东省,3.9541,北京,3.8,浙江省,3.7268,广东省,3.2710000000000004,山东省,3.1803
171,000513.OF,富国高端制造行业,毕天宇,山东省,7.3873,北京,5.8931,浙江省,5.5195,北京,5.4887,贵州省,5.3843,上海,4.87,广东省,3.7905,安徽省,3.7715,浙江省,3.2967,山东省,3.1141
172,000828.OF,泰达宏利转型机遇,王鹏,广东省,9.1933,福建省,5.8295,广东省,5.3482,浙江省,4.2883,福建省,4.2266,吉林省,3.7763,北京,3.772,湖北省,3.2014,河南省,3.0556,江西省,3.0189999999999997
173,007137.OF,鹏扬元合量化大盘优选A,JIANG SHAOKUN,贵州省,5.1917,江苏省,4.7749,北京,4.6588,湖北省,4.658,北京,4.29,北京,3.9947,广东省,3.7618,上海,3.5822,北京,3.5174,广东省,3.3177
174,001541.OF,汇添富民营新动力,谭志强,浙江省,7.2882,江苏省,6.8253,安徽省,6.6367,广东省,6.4829,山东省,5.6312,云南省,4.2536,福建省,3.7572,江苏省,3.6399,四川省,3.4808,浙江省,3.3517
175,001043.OF,工银瑞信美丽城镇主题,王君正,广东省,11.0079,浙江省,8.6094,贵州省,5.4393,浙江省,4.6285,广东省,4.2918,广东省,4.0606,广东省,3.7084,广东省,3.6809,江苏省,3.6587,广东省,3.4586
176,001663.OF,中银互联网+,欧阳力君,上海,5.8233,北京,5.1526,福建省,5.0586,浙江省,4.9983,广东省,3.9415,广东省,3.7042,北京,3.7029,浙江省,3.6809,广东省,3.6284,广东省,3.4739
177,001825.OF,建信中国制造2025,孙晟,北京,8.0367,上海,7.5822,山西省,7.2198,北京,5.9332,北京,4.7764,广东省,3.8076,内蒙古自治区,3.6732,上海,3.3649,上海,2.7965,内蒙古自治区,2.6364
178,000326.OF,南方中小盘成长,吴剑毅,湖北省,6.0744,浙江省,5.9221,四川省,4.9799,福建省,4.5299,湖南省,4.1514,北京,3.9534,安徽省,3.6426,广东省,3.4675,安徽省,3.4154,广东省,2.9745
179,006868.OF,华夏科技成长,张帆,广东省,10.6586,江苏省,4.8974,上海,4.6497,广东省,4.3582,广东省,4.1308,江苏省,3.8485,甘肃省,3.6076,北京,3.5589,广东省,3.5403,江苏省,3.4619999999999997
180,540006.OF,汇丰晋信大盘A,郭敏,福建省,8.4421,上海,6.5161,广东省,4.5894,北京,4.4246,河南省,3.9539999999999997,广东省,3.9017,浙江省,3.602,陕西省,3.5424,广东省,3.2479,北京,3.1189999999999998
181,001490.OF,汇添富国企创新增长,李威,贵州省,10.284,江苏省,9.3039,四川省,5.6362,江苏省,5.4422,北京,4.8987,福建省,3.6041,吉林省,3.5923,广东省,3.5295,广东省,3.3669,浙江省,3.3014
182,000524.OF,上投摩根民生需求,杨景喻,江苏省,6.0494,广东省,4.2259,贵州省,4.024,上海,4.0026,吉林省,3.9451,福建省,3.7962,浙江省,3.589,广东省,3.5801,广东省,3.5097,安徽省,3.4915
183,001009.OF,上投摩根安全战略,陈思郁,吉林省,7.2659,广东省,5.6745,贵州省,5.0679,浙江省,5.0443,湖南省,3.8677,山东省,3.7579,安徽省,3.5588,江苏省,3.5119,广东省,3.5046,北京,3.4895
184,001696.OF,南方智造未来,应帅,贵州省,10.0417,广东省,6.6979999999999995,江苏省,4.4126,上海,3.9104,广东省,3.6671,四川省,3.5767,北京,3.5491,湖北省,3.3797,上海,3.1289,广东省,3.0394
185,002332.OF,汇丰晋信沪港深A,程彧,广东省,9.1492,广东省,9.1352,北京,6.9838,香港特别行政区,4.7845,广东省,4.1091,香港特别行政区,3.9902,新疆维吾尔自治区,3.5057,北京,3.4019999999999997,贵州省,3.3437,安徽省,2.5842
186,000793.OF,工银瑞信高端制造行业,黄安乐,广东省,5.2464,北京,4.8865,北京,4.1496,广东省,4.0168,上海,3.9484,云南省,3.6589,浙江省,3.4681,安徽省,3.3819999999999997,湖南省,3.265,江苏省,3.1698
187,340006.OF,兴全全球视野,王品,北京,10.1508,广东省,7.9555,北京,5.7522,广东省,4.6915,广东省,3.7474,浙江省,3.6956,广东省,3.4656,湖南省,3.3419,江苏省,3.2646,福建省,3.2626
188,005037.OF,银华新能源新材料量化A,李宜璇,陕西省,7.4865,新疆维吾尔自治区,6.7243,江苏省,6.172999999999999,四川省,6.0147,广东省,3.9441,广东省,3.4964,广东省,3.4493,上海,3.3822,浙江省,2.8808,浙江省,2.8418
189,540009.OF,汇丰晋信消费红利,是星涛,重庆,7.4357,贵州省,6.7892,广东省,6.2832,广东省,5.3065,浙江省,4.7665,山东省,3.7153,湖南省,3.4488,江苏省,3.3002,江苏省,3.0088,浙江省,2.9522
190,001047.OF,光大国企改革主题,董伟炜,广东省,6.109,贵州省,5.9693,广东省,5.5152,广东省,4.2554,广东省,3.4586,福建省,3.4518,北京,3.4439,北京,3.4401,北京,3.2979,安徽省,3.282
191,004476.OF,景顺长城沪港深领先科技,詹成,安徽省,5.8331,广东省,5.7773,香港特别行政区,5.5674,北京,4.6018,北京,4.2531,安徽省,3.7601,四川省,3.4408,广东省,3.3132,浙江省,3.2866,广东省,3.2514
192,001036.OF,嘉实企业变革,谢泽林,广东省,4.82,北京,4.5245,广东省,3.9175,江苏省,3.8344,广东省,3.5263,贵州省,3.4717,北京,3.4225,广东省,3.2702,北京,3.1984,广东省,3.1882
193,360001.OF,光大核心,翟云飞,广东省,5.3761,江苏省,4.0665,广东省,3.998,北京,3.9617,上海,3.8742,陕西省,3.4934,北京,3.4216,北京,3.3895,四川省,3.3478,辽宁省,3.2747
194,001126.OF,上投摩根卓越制造,李德辉,北京,7.4855,广东省,6.9229,浙江省,6.227,江苏省,6.0663,广东省,5.4037,江苏省,4.4997,贵州省,3.4045,北京,3.3844,湖南省,2.9618,陕西省,2.9551
195,001938.OF,中欧时代先锋A,周应波,江苏省,8.1428,广东省,7.3952,广东省,7.2167,广东省,5.2404,广东省,5.0571,湖南省,3.9837,上海,3.3724,广东省,3.1694,四川省,3.0195,广东省,2.8267
196,001158.OF,工银瑞信新材料新能源行业,张剑峰,山东省,7.9546,湖北省,6.0886,广东省,5.3845,江苏省,4.4867,陕西省,4.3954,北京,3.8811,辽宁省,3.3209,四川省,3.0989999999999998,江苏省,2.8909,山东省,2.8351
197,001736.OF,圆信永丰优加生活,范妍,广东省,7.3172,安徽省,4.3135,河南省,3.8064,上海,3.5642,广东省,3.4955,北京,3.3549,广东省,3.2873,江苏省,3.285,广东省,2.8072,福建省,2.765
198,001678.OF,英大国企改革主题,张媛,广东省,4.748,浙江省,4.4959,内蒙古自治区,4.2974,广东省,3.9045,山东省,3.3226,上海,3.2788,河南省,3.2776,山东省,3.1207,河南省,3.1087,北京,3.0974
199,320022.OF,诺安研究精选,王创练,北京,8.8952,山东省,5.8821,四川省,5.404,广东省,5.1381,广东省,4.3075,山东省,3.6866,浙江省,3.272,江苏省,3.2667,福建省,2.8295,北京,2.483
200,001520.OF,国投瑞银研究精选,桑俊,广东省,6.2908,广东省,4.5112,北京,4.0313,广东省,3.6441,广东省,3.3964,广东省,3.3402,贵州省,3.2347,上海,3.1126,广东省,2.7805,山东省,2.5196
201,519673.OF,银河康乐,余科苗,浙江省,7.0034,北京,5.8403,广东省,5.0322,上海,4.7632,贵州省,4.4582,湖南省,3.5408,广东省,3.2306,北京,2.241,广东省,2.2352,广东省,2.1198
202,519606.OF,国泰金鑫,申坤,浙江省,5.23,浙江省,4.5102,湖南省,4.3423,湖南省,4.1732,浙江省,3.3725,广东省,3.2909,北京,3.2075,广东省,3.1476,浙江省,3.1448,江苏省,3.0498
203,000697.OF,汇添富移动互联,杨瑨,北京,6.6257,浙江省,4.9839,广东省,4.8463,上海,4.2076,北京,3.8222,浙江省,3.7391,北京,3.1802,北京,3.1419,北京,3.0288,江苏省,2.9314
204,006726.OF,农银汇理稳进多因子,魏刚,贵州省,4.9846,广东省,4.9443,广东省,4.8203,广东省,4.5622,广东省,3.6152,江苏省,3.5136,广东省,3.1723,四川省,2.9936,北京,2.1144,上海,1.9026
205,001577.OF,嘉实低价策略,李帅,广东省,8.6761,广东省,8.2663,浙江省,6.1039,广东省,5.808,浙江省,4.0918,广东省,3.25,上海,3.1697,北京,3.0728,江西省,3.0358,广东省,3.0254
206,000409.OF,鹏华环保产业,孟昊,广东省,6.402,广东省,6.1383,福建省,6.0932,江苏省,4.2745,广东省,3.5448,广东省,3.2651,四川省,3.1176,广东省,3.0398,上海,2.7289999999999996,广东省,2.6994
207,671030.OF,西部利得事件驱动,刘荟,广东省,8.0679,贵州省,7.9772,广东省,6.3018,浙江省,6.1631,江苏省,4.7213,福建省,4.6641,广东省,3.0936,内蒙古自治区,2.9209,北京,2.5161,上海,2.4023
208,005505.OF,前海开源中药研究精选A,范洁,广东省,3.2513,河北省,3.1510000000000002,上海,3.1142,广东省,3.1013,广东省,3.0385,山东省,3.0345,四川省,3.0282,湖北省,3.0181,安徽省,3.0112,云南省,3.0111
209,001105.OF,信达澳银转型创新,王咏辉,广东省,5.2546,北京,4.9547,广东省,4.7785,山东省,4.5269,广东省,4.5005,陕西省,3.7369,广东省,3.0186,广东省,2.8656,广东省,2.615,贵州省,2.3945
210,001714.OF,工银瑞信文体产业,袁芳,北京,5.1207,广东省,4.6204,福建省,3.9256,广东省,3.5122,广东省,3.395,湖北省,3.1347,北京,3.0185,广东省,3.0165,广东省,2.7077,北京,2.4639
211,005495.OF,创金合信科技成长A,周志敏,北京,4.6078,江苏省,3.5572,广东省,3.2799,广东省,3.2637,广东省,3.1919,甘肃省,3.0905,江苏省,3.0098,广东省,2.8209,福建省,2.733,上海,2.7154
212,004484.OF,泰达宏利业绩驱动A,刘洋,广东省,5.1672,贵州省,4.5929,广东省,3.5461,广东省,3.2417,江苏省,3.0669999999999997,内蒙古自治区,3.0333,广东省,3.0066,福建省,2.9817,北京,2.6366,北京,2.5782
213,006926.OF,长城量化精选,雷俊,上海,5.4028,北京,4.3367,广东省,3.5797,福建省,3.5529,北京,3.0356,北京,3.0215,内蒙古自治区,2.9991,北京,2.9844,广东省,2.9777,北京,2.9689
214,000866.OF,华宝高端制造,贺喆,广东省,4.9126,广东省,4.2149,北京,4.1089,浙江省,4.0498,广东省,3.7546,北京,3.694,内蒙古自治区,2.9967,北京,2.4669,江苏省,2.3648,天津,2.2793
215,002980.OF,华夏创新前沿,林晶,福建省,6.6427,广东省,4.1316,上海,3.752,北京,3.6368,江苏省,3.0249,吉林省,2.9874,湖南省,2.9704,上海,2.8632,广东省,2.8018,江苏省,2.4819999999999998
216,001416.OF,嘉实事件驱动,张自力,广东省,5.0096,广东省,4.9001,广东省,4.6041,贵州省,4.3132,浙江省,3.6688,吉林省,3.0358,河南省,2.8937,江苏省,2.8876,四川省,2.5012,江西省,2.1096
217,001193.OF,中金消费升级,于玥,贵州省,10.6552,广东省,8.8535,广东省,8.1762,江苏省,6.0288,四川省,5.8935,内蒙古自治区,3.2116,北京,2.8446,广东省,2.608,浙江省,2.575,山东省,2.3801
218,001097.OF,华泰柏瑞积极优选,方伦煜,广东省,5.0772,河南省,4.1878,广东省,3.7179,北京,3.1114,浙江省,3.0778,浙江省,2.8483,上海,2.8393,福建省,2.806,广东省,2.8013,广东省,2.7766
219,001319.OF,农银汇理信息传媒,韩林,广东省,7.1981,山东省,5.1759,浙江省,4.3436,山东省,4.2744,浙江省,2.9477,安徽省,2.8189,江苏省,2.783,福建省,2.7544,广东省,2.7501,广东省,2.7032
220,001974.OF,景顺长城量化新动力,黎海威,四川省,4.1392,江苏省,3.2966,广东省,3.2697,北京,3.1173,福建省,3.0138,贵州省,2.8668,北京,2.7423,广东省,2.7421,贵州省,2.7341,辽宁省,2.7238
